   Coeff   Det    RedA RedB RedC X Y UnredA UnredB UnredC
      3    300   8, 2, 38    1, 99    372842, 3764, 38
      3    300   8, 2, 38   1, 105    419378, 3992, 38
      3    300   10, 0, 30   1, 107    343480, 3210, 30
     -6    300   12, 6, 28    1, 83    193900, 2330, 28
      3    300   14, 6, 24   1, 143    492506, 3438, 24
      3    300   14, 6, 24   1, 272    1778894, 6534, 24
     -6    300   20, 10, 20   1, 116    271460, 2330, 20
     -6    304   2, 0, 152    1, 21    67034, 3192, 152
     10    304   4, 0, 76    1, 42    134068, 3192, 76
     -6    304   8, 0, 38    1, 84    268136, 3192, 38
      2    304   8, 4, 40    1, 52    108584, 2084, 40
     -6    304   10, 4, 32     1, 4    554, 132, 32
      9    304   10, 4, 32    1, 65    135730, 2084, 32
      9    304   14, 2, 22   1, 145    463144, 3192, 22
     -6    304   14, 2, 22   1, 157    542920, 3456, 22
     10    304   16, 4, 20   1, 104    217168, 2084, 20
    -20    304   16, 4, 20   1, 228    1041520, 4564, 20
     -7    307   2, 1, 154   1, 118    2144534, 18173, 154
      8    307   14, 1, 22   1, 156    535718, 3433, 22
     -7    307   14, 1, 22   1, 272    1628206, 5985, 22
     -1    311   2, 1, 156   1, 218    7414182, 34009, 156
     -1    311   4, 1, 78   1, 159    1972240, 12403, 78
     14    311   4, 1, 78   1, 189    2786620, 14743, 78
     14    311   6, 1, 52   1, 100    520206, 5201, 52
     14    311   6, 1, 52   1, 145    1093596, 7541, 52
    -16    311   8, 3, 40    1, 33    43766, 1323, 40
     -1    311   8, 3, 40   1, 230    2117388, 9203, 40
     14    311   10, 3, 32   1, 149    711336, 4771, 32
     14    311   10, 3, 32   1, 249    1985536, 7971, 32
     -1    311   12, 1, 26    1, 13    4432, 339, 26
     -1    311   12, 1, 26   1, 200    1040412, 5201, 26
    -16    311   12, 5, 28   1, 146    598320, 4093, 28
    -16    311   12, 5, 28   1, 190    1012712, 5325, 28
     -1    311   14, 5, 24    1, 37    33240, 893, 24
     14    311   14, 5, 24    1, 78    146810, 1877, 24
     -1    311   16, 3, 20    1, 66    87532, 1323, 20
     -1    311   16, 3, 20   1, 183    670894, 3663, 20
    -16    311   18, 7, 20    1, 72    104706, 1447, 20
    -16    311   18, 7, 20   1, 232    1079746, 4647, 20
     -6    316   2, 0, 158    1, 50    395002, 7900, 158
      6    316   4, 2, 80   1, 199    3168880, 15922, 80
      6    316   8, 2, 40   1, 121    586132, 4842, 40
     -9    316   8, 2, 40   1, 239    2285804, 9562, 40
      9    316   10, 2, 32    1, 82    215506, 2626, 32
     -6    316   10, 2, 32    1, 91    265366, 2914, 32
     -9    316   16, 2, 20   1, 201    808840, 4022, 20
      6    316   16, 2, 20   1, 242    1172264, 4842, 20
     -6    316   16, 6, 22   1, 107    253178, 2360, 22
      9    316   16, 6, 22   1, 245    1323506, 5396, 22
     -4    324   2, 0, 162    1, 99    1587764, 16038, 162
     -4    324   4, 2, 82   1, 128    1344004, 10498, 82
    -10    324   6, 0, 54    1, 20    21606, 1080, 54
     11    324   10, 4, 34    1, 17    9972, 582, 34
     11    324   10, 4, 34   1, 162    893602, 5512, 34
      5    324   12, 6, 30   1, 130    508572, 3906, 30
      2    324   18, 0, 18    1, 60    64818, 1080, 18
     -4    324   18, 6, 20    1, 26    13850, 526, 20
     -4    324   18, 6, 20   1, 195    762858, 3906, 20
    -13    332   2, 0, 166    1, 29    139608, 4814, 166
     16    332   4, 2, 84    1, 35    103044, 2942, 84
     17    332   6, 2, 56   1, 191    2043706, 10698, 56
      2    332   6, 2, 56   1, 264    3904038, 14786, 56
    -13    332   8, 2, 42    1, 70    206088, 2942, 42
      2    332   8, 2, 42    1, 75    236558, 3152, 42
    -14    332   12, 2, 28   1, 105    309132, 2942, 28
    -14    332   12, 2, 28   1, 251    1765044, 7030, 28
      2    332   14, 2, 24    1, 62    92518, 1490, 24
      2    332   14, 2, 24   1, 261    1635962, 6266, 24
      2    332   18, 8, 22    1, 17    6648, 382, 22
     17    332   18, 8, 22    1, 83    152904, 1834, 22
     10    336   2, 0, 168    1, 26    113570, 4368, 168
    -12    336   4, 0, 84    1, 52    227140, 4368, 84
     -5    336   6, 0, 56    1, 78    340710, 4368, 56
     10    336   8, 0, 42   1, 104    454280, 4368, 42
    -12    336   8, 4, 44    1, 74    241544, 3260, 44
    -20    336   10, 2, 34    1, 67    152904, 2280, 34
     -5    336   10, 2, 34   1, 161    881968, 5476, 34
      3    336   12, 0, 28   1, 121    409960, 3388, 28
     -5    336   14, 0, 24    1, 95    216614, 2280, 24
     -5    336   16, 4, 22   1, 148    483088, 3260, 22
     25    336   16, 4, 22   1, 179    706350, 3942, 22
     18    336   20, 8, 20   1, 169    573944, 3388, 20
     -7    339   2, 1, 170    1, 54    495830, 9181, 170
      8    339   6, 3, 58    1, 90    470346, 5223, 58
     -7    339   10, 1, 34   1, 121    498046, 4115, 34
